DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMA MEDIO,FECHA HECHO,GENERO,AGRUPA EDAD,CANTIDAD
NARIÑO,POTOSÍ,52560000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
PUTUMAYO,SAN MIGUEL,86757000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
RISARALDA,BELÉN DE UMBRÍA,66088000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
RISARALDA,PEREIRA (CT),66001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
SANTANDER,BARICHARA,68079000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
TOLIMA,DOLORES,73236000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,2
VALLE,GUADALAJARA DE BUGA,76111000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
VALLE,JAMUNDÍ,76364000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,BETANIA,5091000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,EBÉJICO,5240000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,3
ANTIOQUIA,VALDIVIA,5854000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,3
CAQUETÁ,FLORENCIA (CT),18001000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADOLESCENTES,1
CAUCA,ARGELIA,19050000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
CAUCA,BALBOA,19075000,ARMA DE FUEGO,1/1/2017,FEMENINO,ADULTOS,2
CAUCA,BALBOA,19075000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
CAUCA,BOLÍVAR,19100000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
CAUCA,CORINTO,19212000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,2
CAUCA,PATÍA,19532000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
CÓRDOBA,MONTERÍA (CT),23001000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,2
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
NARIÑO,ROBERTO PAYÁN,52621000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
NARIÑO,SANDONÁ,52683000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,3
PUTUMAYO,PUERTO LEGUÍZAMO,86573000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
RISARALDA,SANTUARIO,66687000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
SANTANDER,BUCARAMANGA (CT),68001000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
TOLIMA,IBAGUÉ (CT),73001000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,7
VALLE,PALMIRA,76520000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
VALLE,PRADERA,76563000,ARMA DE FUEGO,1/1/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CONTUNDENTES,1/1/2017,MASCULINO,MENORES,1
CUNDINAMARCA,SOACHA,25754000,CONTUNDENTES,1/1/2017,MASCULINO,ADULTOS,1
GUAJIRA,DIBULLA,44090000,CONTUNDENTES,1/1/2017,MASCULINO,MENORES,1
MAGDALENA,SABANAS DE SAN ANGEL,47660000,CONTUNDENTES,1/1/2017,MASCULINO,MENORES,1
MAGDALENA,SANTA MARTA (CT),47001000,CONTUNDENTES,1/1/2017,FEMENINO,ADULTOS,1
NORTE DE SANTANDER,SAN CAYETANO,54673000,CONTUNDENTES,1/1/2017,MASCULINO,ADOLESCENTES,2
ANTIOQUIA,BELLO,5088000,ARMA BLANCA / CORTOPUNZANTE,1/2/2017,MASCULINO,ADULTOS,1
BOLÍVAR,CALAMAR,13140000,ARMA BLANCA / CORTOPUNZANTE,1/2/2017,MASCULINO,ADULTOS,1
BOLÍVAR,TURBACO,13836000,ARMA BLANCA / CORTOPUNZANTE,1/2/2017,FEMENINO,ADULTOS,1
CÓRDOBA,CHINÚ,23182000,ARMA BLANCA / CORTOPUNZANTE,1/2/2017,MASCULINO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,ARMA BLANCA / CORTOPUNZANTE,1/2/2017,MASCULINO,ADULTOS,2
TOLIMA,CHAPARRAL,73168000,ARMA BLANCA / CORTOPUNZANTE,1/2/2017,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,1/2/2017,MASCULINO,ADULTOS,2
ANTIOQUIA,RIONEGRO,5615000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,TURBO,5837000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,VIGÍA DEL FUERTE,5873000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,2
CAUCA,BOLÍVAR,19100000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,1
CAUCA,EL TAMBO,19256000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,1
CAUCA,VILLA RICA,19845000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,3
META,SAN MARTÍN,50689000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,1
RISARALDA,DOSQUEBRADAS,66170000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,1
RISARALDA,PEREIRA (CT),66001000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,2
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,2
VALLE,TULUÁ,76834000,ARMA DE FUEGO,1/2/2017,MASCULINO,ADULTOS,1
VALLE,CANDELARIA,76130000,SIN EMPLEO DE ARMAS,1/2/2017,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA BLANCA / CORTOPUNZANTE,1/3/2017,MASCULINO,ADULTOS,1
CALDAS,MANIZALES (CT),17001000,ARMA BLANCA / CORTOPUNZANTE,1/3/2017,MASCULINO,ADULTOS,1
GUAJIRA,MAICAO,44430000,ARMA BLANCA / CORTOPUNZANTE,1/3/2017,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,OCAÑA,54498000,ARMA BLANCA / CORTOPUNZANTE,1/3/2017,MASCULINO,ADULTOS,1
PUTUMAYO,MOCOA (CT),86001000,ARMA BLANCA / CORTOPUNZANTE,1/3/2017,MASCULINO,ADULTOS,1
SANTANDER,PIEDECUESTA,68547000,ARMA BLANCA / CORTOPUNZANTE,1/3/2017,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,ANORÍ,5040000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,1/3/2017,MASCULINO,MENORES,1
ATLÁNTICO,MALAMBO,8433000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,2
ATLÁNTICO,SOLEDAD,8758000,ARMA DE FUEGO,1/3/2017,FEMENINO,ADULTOS,1
BOLÍVAR,MAHATES,13433000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
CALDAS,MANIZALES (CT),17001000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
CAUCA,PIAMONTE,19533000,ARMA DE FUEGO,1/3/2017,MASCULINO,MENORES,1
CUNDINAMARCA,ARBELÁEZ,25053000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
GUAJIRA,MAICAO,44430000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
HUILA,ALGECIRAS,41020000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADOLESCENTES,2
NORTE DE SANTANDER,SILOS,54743000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
RISARALDA,SANTUARIO,66687000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
SANTANDER,GIRÓN,68307000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADOLESCENTES,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,6
VALLE,GUADALAJARA DE BUGA,76111000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
VALLE,TULUÁ,76834000,ARMA DE FUEGO,1/3/2017,MASCULINO,ADULTOS,1
ATLÁNTICO,GALAPA,8296000,CONTUNDENTES,1/3/2017,MASCULINO,ADULTOS,1
VALLE,YUMBO,76892000,CONTUNDENTES,1/3/2017,FEMENINO,ADULTOS,1
ANTIOQUIA,TARAZÁ,5790000,ARMA BLANCA / CORTOPUNZANTE,1/4/2017,MASCULINO,ADULTOS,1
CHOCÓ,QUIBDÓ (CT),27001000,ARMA BLANCA / CORTOPUNZANTE,1/4/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/4/2017,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,1/4/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,5045000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,CHIGORODÓ,5172000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,EBÉJICO,5240000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,REMEDIOS,5604000,ARMA DE FUEGO,1/4/2017,FEMENINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,3
ATLÁNTICO,SOLEDAD,8758000,ARMA DE FUEGO,1/4/2017,FEMENINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,2
CUNDINAMARCA,GUADUAS,25320000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,2
CUNDINAMARCA,VILLETA,25875000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
HUILA,SUAZA,41770000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
MAGDALENA,PIJIÑO DEL CARMEN,47545000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
META,VILLAVICENCIO (CT),50001000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
NARIÑO,EL ROSARIO,52256000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADOLESCENTES,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,3
NORTE DE SANTANDER,EL ZULIA,54261000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,VILLA DEL ROSARIO,54874000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
QUINDÍO,ARMENIA (CT),63001000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
RISARALDA,BALBOA,66075000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
SANTANDER,SABANA DE TORRES,68655000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/4/2017,MASCULINO,ADULTOS,3
VALLE,PALMIRA,76520000,ARMA DE FUEGO,1/4/2017,FEMENINO,ADULTOS,1
NARIÑO,PASTO (CT),52001000,CONTUNDENTES,1/4/2017,MASCULINO,ADULTOS,1
CÓRDOBA,MONTERÍA (CT),23001000,ARMA BLANCA / CORTOPUNZANTE,1/5/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,SOACHA,25754000,ARMA BLANCA / CORTOPUNZANTE,1/5/2017,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,1/5/2017,MASCULINO,ADULTOS,1
VALLE,SEVILLA,76736000,ARMA BLANCA / CORTOPUNZANTE,1/5/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,5045000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,CÁCERES,5120000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,RIONEGRO,5615000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,TURBO,5837000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADOLESCENTES,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
BOLÍVAR,MOMPÓS,13468000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
CALDAS,VILLAMARÍA,17873000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
CESAR,AGUACHICA,20011000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
GUAJIRA,DIBULLA,44090000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
SUCRE,SAN MARCOS,70708000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,3
VALLE,CARTAGO,76147000,ARMA DE FUEGO,1/5/2017,MASCULINO,ADULTOS,1
NARIÑO,IPIALES,52356000,CONTUNDENTES,1/5/2017,FEMENINO,ADULTOS,1
NARIÑO,IPIALES,52356000,CONTUNDENTES,1/5/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,EL CARMEN DE VIBORAL,5148000,ARMA BLANCA / CORTOPUNZANTE,1/6/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,GUARNE,5318000,ARMA BLANCA / CORTOPUNZANTE,1/6/2017,MASCULINO,ADULTOS,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA BLANCA / CORTOPUNZANTE,1/6/2017,FEMENINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/6/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGÁ,5030000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,BELMIRA,5086000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,CÁCERES,5120000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,CHIGORODÓ,5172000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
ATLÁNTICO,SOLEDAD,8758000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADOLESCENTES,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
HUILA,GUADALUPE,41319000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,2
RISARALDA,DOSQUEBRADAS,66170000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
SANTANDER,BUCARAMANGA (CT),68001000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
TOLIMA,ESPINAL,73268000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
VALLE,ANSERMANUEVO,76041000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
VALLE,EL DOVIO,76250000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
VALLE,JAMUNDÍ,76364000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
VALLE,PRADERA,76563000,ARMA DE FUEGO,1/6/2017,MASCULINO,ADULTOS,1
BOYACÁ,TIBANÁ,15804000,CONTUNDENTES,1/6/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,1/7/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,SAN PEDRO,5664000,ARMA BLANCA / CORTOPUNZANTE,1/7/2017,MASCULINO,ADULTOS,1
CALDAS,PÁCORA,17513000,ARMA BLANCA / CORTOPUNZANTE,1/7/2017,FEMENINO,ADULTOS,1
CAUCA,INZÁ,19355000,ARMA BLANCA / CORTOPUNZANTE,1/7/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/7/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,FUSAGASUGÁ,25290000,ARMA BLANCA / CORTOPUNZANTE,1/7/2017,MASCULINO,ADULTOS,1
NARIÑO,EL TABLÓN DE GÓMEZ,52258000,ARMA BLANCA / CORTOPUNZANTE,1/7/2017,MASCULINO,ADULTOS,1
NARIÑO,PROVIDENCIA,52565000,ARMA BLANCA / CORTOPUNZANTE,1/7/2017,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,EL CARMEN,54245000,ARMA BLANCA / CORTOPUNZANTE,1/7/2017,MASCULINO,ADULTOS,1
PUTUMAYO,VILLAGARZÓN,86885000,ARMA BLANCA / CORTOPUNZANTE,1/7/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,5045000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,TARAZÁ,5790000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,4
BOYACÁ,PAUNA,15531000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
CALDAS,MANIZALES (CT),17001000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
CALDAS,VICTORIA,17867000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
CAQUETÁ,FLORENCIA (CT),18001000,ARMA DE FUEGO,1/7/2017,FEMENINO,ADULTOS,1
CAQUETÁ,FLORENCIA (CT),18001000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
CESAR,EL PASO,20250000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
CHOCÓ,QUIBDÓ (CT),27001000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
CHOCÓ,UNIÓN PANAMERICANA,27810000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,4
MAGDALENA,GUAMAL,47318000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
SUCRE,SINCELEJO (CT),70001000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
TOLIMA,MELGAR,73449000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,2
VALLE,ANDALUCÍA,76036000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,1
VALLE,CAICEDONIA,76122000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADOLESCENTES,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADOLESCENTES,2
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,2
VALLE,ROLDANILLO,76622000,ARMA DE FUEGO,1/7/2017,MASCULINO,ADULTOS,2
ANTIOQUIA,TURBO,5837000,ARMA BLANCA / CORTOPUNZANTE,1/8/2017,MASCULINO,ADOLESCENTES,1
CASANARE,SABANALARGA,85300000,ARMA BLANCA / CORTOPUNZANTE,1/8/2017,MASCULINO,ADULTOS,1
CAUCA,ARGELIA,19050000,ARMA BLANCA / CORTOPUNZANTE,1/8/2017,FEMENINO,ADULTOS,1
CAUCA,CALOTO,19142000,ARMA BLANCA / CORTOPUNZANTE,1/8/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/8/2017,MASCULINO,ADULTOS,3
GUAJIRA,DIBULLA,44090000,ARMA BLANCA / CORTOPUNZANTE,1/8/2017,MASCULINO,ADULTOS,1
HUILA,ISNOS,41359000,ARMA BLANCA / CORTOPUNZANTE,1/8/2017,MASCULINO,ADULTOS,1
HUILA,PITAL,41548000,ARMA BLANCA / CORTOPUNZANTE,1/8/2017,MASCULINO,ADULTOS,1
SANTANDER,BARRANCABERMEJA,68081000,ARMA BLANCA / CORTOPUNZANTE,1/8/2017,MASCULINO,ADULTOS,1
SANTANDER,PIEDECUESTA,68547000,ARMA BLANCA / CORTOPUNZANTE,1/8/2017,MASCULINO,ADULTOS,1
